,state,UP,DOWN,LEFT,RIGHT,POLICY
631,"((0, 5), (4, 4))",-176.669635576798,-176.53162388891917,-179.78217877298692,-508.0,DOWN
632,"((4, 5), (4, 4))",-174.03994057786298,-177.07207556787318,-759.0,-176.69961840554097,UP
633,"((2, 3), (4, 4))",0.0,0.0,0.0,0.0,UP
634,"((5, 0), (1, 4))",-234.11812585833792,-238.0276279472535,-238.0276279472535,-240.69690460486046,UP
635,"((5, 3), (1, 4))",0.0,0.0,0.0,0.0,UP
636,"((4, 6), (1, 5))",-507.5,-209.09219940121895,-206.4204706959423,-203.38384947988231,RIGHT
637,"((4, 4), (1, 3))",-223.39502140428556,-215.63745362952244,-508.5,-213.1437640854375,RIGHT
638,"((5, 11), (4, 2))",-244.44346293380084,-239.56007728354032,-238.44696871909332,-511.5,LEFT
639,"((4, 12), (4, 2))",0.0,0.0,0.0,0.0,UP
640,"((4, 5), (1, 2))",-219.9242403940105,-213.00490301902352,-216.45237860632588,-215.58257260754968,DOWN
641,"((3, 6), (1, 2))",0.0,0.0,0.0,0.0,UP
642,"((3, 10), (3, 1))",-236.376515486253,-234.92278592905157,-245.62144858773337,-234.85018716505562,RIGHT
643,"((2, 10), (3, 1))",-224.48314735165428,-233.43938811022224,-511.5,-230.08647318642798,UP
644,"((1, 10), (3, 1))",-224.3379124566452,-226.1816643417411,-512.0,-217.90044704740922,RIGHT
645,"((0, 10), (3, 1))",-224.31529636725753,-227.91012990622795,-512.5,-219.72316665388553,RIGHT
646,"((4, 10), (3, 1))",-236.59175530565847,-226.4577291004182,-511.5,-231.67676538983213,DOWN
647,"((3, 11), (3, 1))",-231.88653039865008,-226.26434836936585,-234.47723174488218,-512.5,DOWN
648,"((2, 11), (3, 1))",-223.25533778139956,-229.91204454072098,-226.0960416990692,-513.0,UP
649,"((1, 11), (3, 1))",-213.1056129493184,-209.0583396996858,-222.13952111724902,-213.5994325950545,DOWN
650,"((0, 11), (3, 1))",-208.08596526956205,-203.82988108719198,-223.20962537022803,-207.98938593140656,DOWN
651,"((4, 11), (3, 1))",-230.41849419999104,-229.4124131066767,-225.27926366157766,-513.0,LEFT
652,"((5, 10), (3, 1))",-231.1468978202547,-227.10934604367418,-512.0,-235.95639057515456,DOWN
653,"((1, 9), (3, 2))",0.0,0.0,0.0,0.0,UP
654,"((0, 6), (2, 4))",0.0,0.0,0.0,0.0,UP
655,"((1, 6), (1, 4))",0.0,0.0,0.0,0.0,UP
656,"((4, 2), (1, 5))",-222.68833101622357,-215.46775803441005,-218.45871257418096,-508.5,DOWN
657,"((4, 1), (1, 5))",-218.96027849734537,-215.22764898860834,-220.33733137017657,-222.12152034650376,DOWN
658,"((4, 0), (1, 5))",-220.32684257727396,-219.25848115858832,-217.78188843958216,-220.91862231919183,LEFT
659,"((0, 2), (2, 5))",-188.44761128191786,-186.92178465912184,-184.10754250647526,-186.41216485144264,LEFT
660,"((1, 2), (2, 5))",-188.52300687199119,-185.17807298347037,-187.27583255147704,-185.63214811726263,DOWN
661,"((0, 1), (2, 5))",-185.1146051736448,-183.97846425017866,-184.8388531916061,-187.81658493092368,DOWN
662,"((1, 1), (2, 5))",-185.10862281081944,-186.28055095164254,-185.2209633243116,-187.65225781247932,UP
663,"((0, 0), (2, 5))",-183.9133769893956,-184.54973994105256,-187.94341667901904,-189.2930900526319,UP
664,"((1, 0), (2, 5))",-188.74308353607756,-184.83994823344847,-185.1146051736448,-184.53410992659636,RIGHT
665,"((0, 6), (2, 5))",0.0,0.0,0.0,0.0,UP
666,"((5, 11), (4, 1))",-234.3629803662664,-228.93484734091766,-229.32882779326928,-512.5,DOWN
667,"((4, 12), (4, 1))",0.0,0.0,0.0,0.0,UP
668,"((0, 9), (3, 2))",0.0,0.0,0.0,0.0,UP
669,"((4, 5), (1, 3))",-216.6718952510193,-206.88321621886303,-208.6457442176502,-211.24758075130873,DOWN
670,"((5, 4), (1, 3))",-215.36673618343394,-215.358330047515,-509.0,-208.71904052081533,RIGHT
671,"((5, 4), (1, 2))",-214.32421431830608,-209.8164014661865,-510.0,-214.45270274506953,DOWN
672,"((5, 3), (1, 5))",0.0,0.0,0.0,0.0,UP
673,"((1, 9), (2, 1))",0.0,0.0,0.0,0.0,UP
674,"((5, 2), (1, 5))",-216.60239152669874,-215.358330047515,-215.27736475638352,-509.0,LEFT
675,"((5, 1), (1, 5))",-212.26107381850363,-217.78188843958216,-221.24406551296892,-217.93019738192746,UP
676,"((5, 0), (1, 5))",-220.50967620031867,-219.26731945885558,-219.26731945885558,-220.0373577519986,DOWN
677,"((3, 6), (1, 3))",0.0,0.0,0.0,0.0,UP
678,"((1, 9), (3, 1))",0.0,0.0,0.0,0.0,UP
679,"((2, 12), (4, 2))",0.0,0.0,0.0,0.0,UP
680,"((1, 3), (3, 4))",-187.25899708103015,-506.5,-184.36635579507487,-184.5309921017473,LEFT
681,"((0, 3), (3, 4))",-180.5863485077804,-186.4069498840867,-185.53820101214305,-184.47833021240376,UP
682,"((2, 6), (3, 5))",0.0,0.0,0.0,0.0,UP
683,"((0, 9), (3, 1))",0.0,0.0,0.0,0.0,UP
684,"((5, 6), (1, 5))",-208.1992785237853,-207.72445905210247,-209.63294020610124,-209.83977457660023,DOWN
685,"((5, 7), (1, 5))",-208.94236494086257,-204.0236810976458,-206.30091714604856,-204.54019120833914,DOWN
686,"((4, 7), (1, 5))",-204.99718137720464,-209.2206321958837,-202.14983526152525,-202.89914738424366,LEFT
687,"((3, 7), (1, 5))",-203.641850638292,-204.47398203863466,-507.5,-198.11823019579532,RIGHT
688,"((2, 7), (1, 5))",-198.1439479670808,-202.5618481371257,-507.0,-197.4276300724282,RIGHT
689,"((1, 7), (1, 5))",-197.56657976403773,-202.52581117810456,-506.5,-201.29698575052123,UP
690,"((0, 7), (1, 5))",-196.42050668210982,-199.55458547472247,-507.0,-202.54217978168134,UP
691,"((5, 8), (1, 5))",-203.4417161910734,-202.66013288802912,-202.74552237470652,-510.0,DOWN
692,"((4, 8), (1, 5))",-199.96227685805002,-201.61773512342324,-201.65978681150182,-509.5,UP
693,"((3, 8), (1, 5))",-199.05626889252133,-197.2835537042303,-200.27018652978464,-192.2307606680679,RIGHT
694,"((2, 8), (1, 5))",-200.11224957450455,-200.7293528179111,-197.46176338675167,-508.5,LEFT
695,"((1, 8), (1, 5))",-200.19152854608808,-203.5383552735736,-200.7247203445612,-508.0,UP
696,"((0, 8), (1, 5))",-202.5278463593807,-204.73714429554832,-200.53529460690356,-762.75,LEFT
697,"((5, 5), (1, 2))",-215.2414593721312,-209.8569433958412,-210.26991983132604,-202.89282488173978,RIGHT
698,"((4, 6), (1, 2))",-510.5,-207.17044542525423,-203.1184733592868,-199.0340164967194,RIGHT
699,"((1, 9), (2, 2))",0.0,0.0,0.0,0.0,UP
700,"((3, 10), (2, 2))",-198.2160440790785,-197.76707284311334,-208.9996140081444,-194.95557724754832,RIGHT
701,"((2, 10), (2, 2))",-193.19362485030973,-196.9340175900818,-510.5,-196.3799628564068,UP
702,"((1, 10), (2, 2))",-187.08530944402605,-195.2363709553594,-511.0,-185.2923392694107,RIGHT
703,"((0, 10), (2, 2))",-184.96530246183298,-194.05251172275024,-767.25,-184.54517058132137,RIGHT
704,"((4, 10), (2, 2))",-195.23400395949415,-204.36104544456978,-511.5,-199.34921078566583,UP
705,"((3, 11), (2, 2))",-198.06455266110868,-197.859874144949,-201.00649535209953,-512.5,DOWN
706,"((2, 11), (2, 2))",-184.30348758819565,-197.10497571500815,-195.4351406150496,-512.0,UP
707,"((1, 11), (2, 2))",-185.0226874959144,-186.06675979761684,-175.30083257578488,-175.9695665292531,LEFT
708,"((0, 11), (2, 2))",-181.07757795418019,-181.13558796892028,-191.3451287854259,-179.12160141414384,RIGHT
709,"((4, 11), (2, 2))",-203.25012955666665,-199.7382107949744,-197.1795114819971,-513.0,LEFT
710,"((3, 12), (3, 2))",0.0,0.0,0.0,0.0,UP
711,"((3, 2), (2, 4))",-197.69121773588932,-197.580294180794,-194.27734177005294,-507.0,LEFT
712,"((3, 1), (2, 4))",-199.77523233252458,-202.94241503038324,-194.48243651609548,-197.81487321572308,LEFT
713,"((3, 0), (2, 4))",-199.5941929881741,-204.03268242263795,-198.78705824668677,-198.0817314284616,RIGHT
714,"((5, 12), (4, 2))",0.0,0.0,0.0,0.0,UP
715,"((3, 6), (4, 5))",0.0,0.0,0.0,0.0,UP
716,"((3, 5), (1, 4))",-196.5347666674476,-187.75248880034542,-193.43320491455216,-762.75,DOWN
717,"((2, 4), (1, 4))",-198.96688880750457,-197.2340948525951,-507.5,-196.44478544220044,RIGHT
718,"((3, 4), (1, 4))",-194.34401445129146,-194.166932218615,-508.0,-193.73160439922847,RIGHT
719,"((3, 10), (2, 1))",-206.73633595571744,-215.4374074865578,-213.75248421920236,-215.13156122828187,UP
720,"((2, 10), (2, 1))",-192.0606570703028,-200.92267777930843,-511.5,-199.11188312696308,UP
721,"((1, 10), (2, 1))",-179.6218601728138,-190.85277257014698,-512.0,-184.05554101802858,UP
722,"((0, 10), (2, 1))",-176.2016895199472,-179.09205553379724,-512.5,-171.21378943208947,RIGHT
723,"((4, 10), (2, 1))",-214.51628027727153,-203.98089983087735,-512.5,-212.19540401403648,DOWN
724,"((3, 11), (2, 1))",-202.56385408321268,-210.8189403262885,-201.50525548424568,-513.5,LEFT
725,"((2, 11), (2, 1))",-193.18454284795257,-198.5206709243227,-190.81361486587048,-513.0,LEFT
726,"((1, 11), (2, 1))",-176.89355628797682,-177.08237498621796,-179.46233493727206,-179.35640958030405,UP
727,"((0, 11), (2, 1))",-170.33032922452935,-171.01234628838375,-175.14622473587275,-173.92739160188808,UP
728,"((4, 11), (2, 1))",-204.02567834588916,-197.98069724538897,-210.17270579287873,-514.0,DOWN
729,"((5, 10), (2, 1))",-201.96740085705824,-195.56378419051464,-513.0,-190.59112200281717,RIGHT
730,"((2, 12), (4, 1))",0.0,0.0,0.0,0.0,UP
731,"((5, 6), (1, 2))",-195.87723356758687,-198.43276217103556,-197.97141142381898,-201.02523689056065,UP
732,"((5, 7), (1, 2))",-197.76966176782003,-196.0404759495238,-196.15886777706373,-193.43699130196137,RIGHT
733,"((4, 7), (1, 2))",-194.38445360218833,-190.20769691138076,-191.69262151766793,-190.29152089778057,DOWN
734,"((3, 7), (1, 2))",-192.45017283989378,-192.97106659467548,-765.75,-187.64617678697147,RIGHT
735,"((2, 7), (1, 2))",-192.57140278773534,-189.38893683128788,-510.0,-193.8232410836937,DOWN
736,"((1, 7), (1, 2))",-191.99448494041792,-194.89826624194762,-509.5,-186.9952150934725,RIGHT
737,"((0, 7), (1, 2))",-190.77185067668646,-187.71638198736147,-510.0,-190.7367534937046,DOWN
738,"((5, 8), (1, 2))",-187.9865827486773,-181.07757795418019,-191.42780668054974,-513.0,DOWN
739,"((4, 8), (1, 2))",-184.2780419553242,-185.5817758726024,-180.57436043667786,-512.5,LEFT
740,"((3, 8), (1, 2))",-186.84641689031622,-178.75964022630268,-185.85399371331238,-183.01347549206264,DOWN
741,"((2, 8), (1, 2))",-194.55817122941335,-190.87958333208854,-188.36682851335974,-511.5,LEFT
742,"((1, 8), (1, 2))",-188.47258346132753,-192.32748465036147,-195.9465659078017,-511.0,UP
743,"((0, 8), (1, 2))",-189.80525077229484,-193.12403719500762,-189.43222810245365,-511.5,LEFT
744,"((5, 5), (1, 3))",-208.2181991105876,-207.1016963382632,-205.62943190922692,-202.12413084749107,RIGHT
745,"((4, 6), (1, 3))",-509.5,-200.63880984113754,-203.41897804120816,-202.1127853183867,DOWN
746,"((3, 5), (2, 4))",-180.5427436510281,-181.29478087996605,-182.41287901955047,-507.5,UP
747,"((2, 4), (2, 3))",0.0,0.0,0.0,0.0,UP
748,"((2, 6), (3, 4))",0.0,0.0,0.0,0.0,UP
749,"((3, 4), (2, 5))",-177.7091147075571,-174.4262038242335,-507.0,-176.18274429336577,DOWN
750,"((2, 6), (1, 4))",0.0,0.0,0.0,0.0,UP
751,"((3, 6), (4, 4))",0.0,0.0,0.0,0.0,UP
752,"((3, 12), (3, 1))",0.0,0.0,0.0,0.0,UP
753,"((1, 12), (4, 2))",-222.99444255768435,-512.0,-216.36442550615024,-214.1011471746528,RIGHT
754,"((0, 12), (4, 2))",-224.31529636725753,-215.77050672201375,-225.6470200163369,-215.32434370740742,RIGHT
755,"((5, 10), (2, 2))",-202.25844805607142,-204.20882911408722,-512.0,-206.18344459071577,UP
756,"((1, 9), (1, 1))",0.0,0.0,0.0,0.0,UP
757,"((5, 9), (1, 2))",0.0,0.0,0.0,0.0,UP
758,"((5, 9), (1, 5))",0.0,0.0,0.0,0.0,UP
759,"((4, 5), (3, 4))",-180.3156818324477,-180.80470449071373,-176.18299250102393,-177.20043720173817,LEFT
760,"((3, 4), (3, 3))",0.0,0.0,0.0,0.0,UP
761,"((5, 12), (4, 1))",0.0,0.0,0.0,0.0,UP
762,"((1, 3), (3, 5))",-174.22537464049498,-506.5,-175.86391685705104,-175.45931593476348,UP
763,"((0, 3), (3, 5))",-176.07573166109162,-175.38188608704422,-172.97742918713618,-176.87749579692021,LEFT
764,"((4, 9), (1, 5))",0.0,0.0,0.0,0.0,UP
765,"((0, 9), (2, 1))",0.0,0.0,0.0,0.0,UP
766,"((2, 2), (2, 5))",-184.24078133655826,-191.59127447922071,-185.15981198404856,-886.375,UP
767,"((2, 1), (2, 5))",-186.76217290776532,-184.28170102021318,-188.47402582059794,-182.10407265832328,RIGHT
768,"((2, 0), (2, 5))",-189.76046347676635,-185.15961204368799,-188.44761128191786,-182.94177607943215,RIGHT
769,"((2, 5), (2, 6))",0.0,0.0,0.0,0.0,UP
770,"((5, 11), (3, 1))",-234.6170862868458,-236.19371988542125,-231.35618885416918,-770.25,LEFT
771,"((2, 12), (3, 1))",0.0,0.0,0.0,0.0,UP
772,"((2, 6), (2, 4))",0.0,0.0,0.0,0.0,UP
773,"((4, 9), (1, 2))",0.0,0.0,0.0,0.0,UP
774,"((2, 3), (4, 5))",0.0,0.0,0.0,0.0,UP
775,"((4, 2), (2, 4))",-196.56888514486047,-202.34646807616588,-199.72228909858126,-507.5,UP
776,"((4, 1), (2, 4))",-200.39786433969329,-204.38069962528522,-197.95901204914247,-200.84070494414397,LEFT
777,"((4, 0), (2, 4))",-200.52361932596887,-203.15571974370607,-200.13300828641468,-198.3740728746518,RIGHT
778,"((3, 3), (2, 4))",0.0,0.0,0.0,0.0,UP
779,"((1, 6), (3, 5))",0.0,0.0,0.0,0.0,UP
780,"((0, 2), (3, 4))",-181.3543831979074,-183.0292513863342,-181.7477982809542,-185.69897844973622,UP
781,"((1, 2), (3, 4))",-181.5236650340602,-180.6047263866305,-183.2171147214948,-180.16242838164328,RIGHT
782,"((0, 1), (3, 4))",-185.1146051736448,-177.83183478487376,-179.68316389298002,-184.27703989863477,DOWN
783,"((1, 1), (3, 4))",-177.6581020418679,-182.04833156976588,-175.6781312315859,-178.48329851521632,LEFT
784,"((0, 0), (3, 4))",-179.6530972319319,-177.70487193155608,-179.21910020522253,-185.0221110694883,DOWN
785,"((1, 0), (3, 4))",-179.0575817899489,-176.96656111339837,-177.50211575240684,-176.49614241342834,RIGHT
786,"((2, 2), (3, 4))",-183.3850982590765,-180.7904846197801,-179.05186828217143,-506.5,LEFT
787,"((2, 1), (3, 4))",-176.3813817277852,-177.74801540941564,-182.35469420211876,-179.84625647504907,UP
788,"((2, 0), (3, 4))",-177.70140711599808,-180.5876073495769,-178.87671523365066,-179.62340838423296,UP
789,"((1, 6), (3, 4))",0.0,0.0,0.0,0.0,UP
790,"((5, 6), (1, 3))",-201.70353556285943,-200.31799142330303,-199.88829102225736,-195.66241904530443,RIGHT
791,"((5, 7), (1, 3))",-197.1306059550907,-189.80525077229484,-192.7126290878981,-190.63043980279537,DOWN
792,"((4, 7), (1, 3))",-194.10286168066466,-196.4421148377136,-195.42969547394898,-191.3857168958265,RIGHT
793,"((3, 7), (1, 3))",-193.14985628807318,-189.68155421710753,-509.5,-193.24618721390195,DOWN
794,"((2, 7), (1, 3))",-198.3898339962912,-196.39309434816232,-509.0,-197.728974045649,DOWN
795,"((1, 7), (1, 3))",-198.7594600934369,-198.63209712190644,-508.5,-198.15731959833752,RIGHT
796,"((0, 7), (1, 3))",-198.38471760563118,-196.52119970368813,-509.0,-199.95913017551408,DOWN
797,"((5, 8), (1, 3))",-186.06005167974376,-187.07241128374886,-188.7121748480377,-512.0,UP
798,"((4, 8), (1, 3))",-192.56379001878798,-185.40963124137465,-186.15786627546652,-511.5,DOWN
799,"((3, 8), (1, 3))",-193.89085162854803,-192.88931555722422,-193.78464029869448,-191.53786846932132,RIGHT
800,"((2, 8), (1, 3))",-197.6135772116217,-198.0397661774269,-195.99451851930644,-510.5,LEFT
801,"((1, 8), (1, 3))",-198.05851209109755,-200.7482038958208,-197.991082182799,-510.0,LEFT
802,"((0, 8), (1, 3))",-199.82514425351093,-201.00072196222985,-196.54770165807054,-510.5,LEFT
803,"((5, 5), (4, 4))",-176.2622039920156,-175.6471187891729,-174.346805865085,-175.27476631807474,LEFT
804,"((4, 4), (4, 3))",0.0,0.0,0.0,0.0,UP
805,"((2, 12), (3, 2))",0.0,0.0,0.0,0.0,UP
806,"((0, 13), (4, 2))",-208.08596526956205,-214.64237910377977,-211.20290156335102,-208.08596526956205,UP
807,"((1, 13), (4, 2))",-207.19142592866763,-212.17756331479086,-215.16590057930577,-212.3771822786508,UP
808,"((3, 9), (1, 5))",-508.5,-509.5,-182.4170844831303,-183.80003727405773,LEFT
809,"((2, 9), (1, 5))",0.0,0.0,0.0,0.0,UP
810,"((4, 4), (3, 5))",-169.85616083995228,-166.7645021630898,-759.75,-166.42741112841935,RIGHT
811,"((3, 3), (3, 5))",0.0,0.0,0.0,0.0,UP
812,"((0, 9), (2, 2))",0.0,0.0,0.0,0.0,UP
813,"((0, 6), (3, 4))",0.0,0.0,0.0,0.0,UP
814,"((2, 13), (4, 2))",-206.28793085560545,-205.1818788683775,-512.0,-204.20882911408722,RIGHT
815,"((3, 13), (4, 2))",-192.1692816354696,-194.08991722138313,-511.5,-196.0404759495238,UP
816,"((4, 13), (4, 2))",-196.1915011215794,-196.0402525425414,-511.0,-194.14988291218754,RIGHT
817,"((5, 9), (1, 3))",0.0,0.0,0.0,0.0,UP
818,"((1, 3), (4, 4))",-177.23352793443144,-506.5,-179.96824658046546,-183.0905665103794,UP
819,"((0, 3), (4, 4))",-176.669635576798,-175.68017113786613,-181.57123427817663,-179.20779970734108,DOWN
820,"((4, 5), (1, 4))",-191.12319338301165,-182.55512307828252,-188.35131666545817,-181.99133471250514,RIGHT
821,"((4, 4), (1, 4))",-192.9956223675044,-185.73698420955313,-889.875,-190.22075101157685,DOWN
822,"((3, 2), (2, 5))",-189.87421048149085,-186.91257864265503,-190.4183437246433,-507.0,DOWN
823,"((3, 1), (2, 5))",-187.54862568401717,-182.72728662355053,-186.55776798728647,-189.08704776830092,DOWN
824,"((3, 0), (2, 5))",-184.61124009686586,-191.89923843536693,-185.1146051736448,-187.5078839072267,UP
825,"((4, 5), (2, 4))",-174.32768970299287,-177.60238896471554,-179.5452206764751,-175.66993249632736,UP
826,"((3, 4), (2, 4))",-190.74965897589294,-178.61692508573495,-507.0,-182.25517207677538,DOWN
827,"((3, 6), (1, 4))",0.0,0.0,0.0,0.0,UP
828,"((1, 12), (4, 1))",-215.6386792803809,-513.0,-221.52834829886024,-219.27732821095464,UP
829,"((0, 12), (4, 1))",-202.80688730868195,-207.6294968757059,-213.78471260209318,-216.1010826801575,UP
830,"((5, 4), (1, 4))",-180.71811527235957,-185.1146051736448,-509.0,-184.97216861733045,UP
831,"((3, 10), (1, 1))",-188.00282338373188,-191.92102579890974,-194.73838733779337,-189.39826614678728,UP
832,"((2, 10), (1, 1))",-178.53458310297248,-182.86045883280718,-512.5,-174.02755090548277,RIGHT
833,"((1, 10), (1, 1))",-170.5283555282623,-166.7117065755374,-512.0,-180.3447991217992,DOWN
834,"((0, 10), (1, 1))",-176.2016895199472,-168.08824155366074,-512.5,-173.68047259992915,DOWN
835,"((4, 10), (1, 1))",-192.1628330508001,-182.66671663593735,-513.5,-180.86226303557007,RIGHT
836,"((3, 11), (1, 1))",-177.91856318298662,-174.56127116122715,-184.2203006383311,-514.5,DOWN
837,"((2, 11), (1, 1))",-173.86633687048504,-172.76458963524396,-173.09435682212643,-514.0,DOWN
838,"((1, 11), (1, 1))",-172.24799562335454,-173.58768861341622,-177.57866259834236,-177.37461258425867,UP
839,"((0, 11), (1, 1))",-181.91625368709458,-169.9878186259295,-170.38227036787512,-176.89453640850058,DOWN
840,"((4, 11), (1, 1))",-169.41996904805436,-177.03764216872463,-175.68827294174562,-515.0,UP
841,"((3, 9), (1, 2))",-767.25,-512.5,-170.39020335698677,-171.619446258033,LEFT
842,"((2, 9), (1, 2))",0.0,0.0,0.0,0.0,UP
843,"((2, 6), (4, 5))",0.0,0.0,0.0,0.0,UP
844,"((3, 6), (2, 4))",0.0,0.0,0.0,0.0,UP
845,"((3, 6), (3, 4))",0.0,0.0,0.0,0.0,UP
846,"((5, 10), (1, 1))",-183.02005837208492,-182.94739064856861,-514.0,-173.85657257506423,RIGHT
847,"((4, 9), (1, 3))",0.0,0.0,0.0,0.0,UP
848,"((5, 13), (4, 2))",-195.75258472538596,-196.0404759495238,-511.5,-196.0404759495238,UP
849,"((0, 13), (4, 1))",-210.04999042684915,-215.55381414448954,-210.80184208420553,-210.04999042684915,UP
850,"((1, 13), (4, 1))",-210.9132805919026,-220.65006548630458,-217.91931941788351,-215.79285287213855,UP
851,"((2, 13), (4, 1))",-213.06631979021256,-217.3694217988188,-513.0,-220.54553544321425,UP
852,"((0, 2), (3, 5))",-174.22551075166572,-173.04539497725318,-173.0219770702999,-176.54610082494094,LEFT
853,"((1, 2), (3, 5))",-174.21049279121488,-175.86347869429028,-178.2958798764884,-172.62883851083313,RIGHT
854,"((0, 1), (3, 5))",-177.50211575240684,-175.36569600068927,-171.9392423975792,-177.56997752836577,LEFT
855,"((1, 1), (3, 5))",-177.86785756885763,-176.2043183773195,-176.09002915148747,-175.8610325867202,RIGHT
856,"((0, 0), (3, 5))",-171.70113550568826,-171.146502522457,-171.70113550568826,-174.6885526519734,DOWN
857,"((1, 0), (3, 5))",-175.75922623924788,-171.32194535509217,-176.31450880258177,-174.48053983840623,DOWN
858,"((0, 6), (3, 5))",0.0,0.0,0.0,0.0,UP
859,"((5, 5), (1, 4))",-185.04579899025907,-176.54209098183975,-180.50086305471785,-178.25756133046994,DOWN
860,"((4, 6), (1, 4))",-762.75,-178.54512755373085,-177.49700790862323,-178.77134237347747,LEFT
861,"((4, 4), (2, 5))",-176.1670355989453,-169.4155536334288,-507.5,-170.96538112961784,DOWN
862,"((3, 3), (2, 5))",0.0,0.0,0.0,0.0,UP
863,"((3, 5), (2, 5))",-181.7873717050013,-174.17632901898833,-173.76466307680857,-759.75,LEFT
864,"((4, 4), (2, 4))",-177.07149572562645,-179.86654983068235,-507.5,-180.74018747910895,UP
865,"((5, 4), (4, 5))",-146.3497646630487,-148.82149637571274,-759.0,-147.77785490953278,UP
866,"((4, 3), (4, 5))",0.0,0.0,0.0,0.0,UP
867,"((2, 6), (4, 4))",0.0,0.0,0.0,0.0,UP
868,"((5, 2), (2, 4))",-204.84317314295365,-200.22558698703767,-202.76208078188125,-762.0,DOWN
869,"((5, 1), (2, 4))",-202.18489725623604,-204.0236810976458,-206.84700729483447,-206.67687096999674,UP
870,"((5, 0), (2, 4))",-201.08775685632781,-206.89279401760302,-206.89279401760302,-207.5684756222078,UP
871,"((4, 3), (2, 4))",0.0,0.0,0.0,0.0,UP
872,"((3, 2), (3, 4))",-181.92713066115186,-178.23459844509296,-178.69558914093176,-506.0,DOWN
873,"((3, 1), (3, 4))",-182.6039966708987,-178.44212774869337,-179.08532021741314,-177.2603650614123,RIGHT
874,"((3, 0), (3, 4))",-179.17448628722613,-180.2794068522819,-183.286287398914,-182.48651084967892,UP
875,"((1, 6), (1, 5))",0.0,0.0,0.0,0.0,UP
876,"((3, 13), (4, 1))",-212.9837629972801,-211.98262674053834,-512.5,-212.3771822786508,DOWN
877,"((5, 11), (3, 2))",-213.42965116861996,-207.06027356977617,-209.36260652347403,-512.5,DOWN
878,"((5, 5), (3, 4))",-175.70709219841882,-177.21186556445815,-178.4383450274557,-178.27537219740378,UP
879,"((4, 4), (3, 4))",-180.34597326193438,-176.24793432521102,-506.5,-179.40178460316613,DOWN
880,"((5, 5), (2, 4))",-176.8473821035378,-170.6721202088646,-175.66257787782092,-175.06220608542674,DOWN
881,"((5, 4), (2, 4))",-179.55146922938837,-176.669635576798,-508.0,-176.9531617139862,DOWN
882,"((3, 12), (2, 1))",0.0,0.0,0.0,0.0,UP
883,"((4, 6), (4, 4))",-506.5,-170.2245724423568,-174.20469423134773,-172.5685308583977,DOWN
884,"((3, 5), (3, 6))",0.0,0.0,0.0,0.0,UP
885,"((1, 3), (4, 5))",-162.21641595644107,-759.75,-158.86345249041776,-163.72673568125342,LEFT
886,"((0, 3), (4, 5))",-163.33641632968659,-162.03919838429988,-161.2710762136121,-164.76844495077768,LEFT
887,"((4, 6), (3, 4))",-506.5,-174.48851286904898,-171.0988275389988,-171.88300885808016,LEFT
888,"((4, 2), (2, 5))",-191.31360180250846,-187.94807635681104,-187.10422289367852,-507.5,LEFT
889,"((4, 1), (2, 5))",-187.40272035685626,-189.70390713201493,-187.74518382360424,-188.28240605101882,UP
890,"((4, 0), (2, 5))",-189.47698732452648,-188.45952330515524,-187.94341667901904,-190.51975239431715,LEFT
891,"((4, 12), (3, 1))",0.0,0.0,0.0,0.0,UP
892,"((0, 2), (4, 4))",-174.22551075166572,-177.79803667234307,-179.32858277599644,-179.85098708282482,UP
893,"((1, 2), (4, 4))",-179.01491489223355,-177.83512725444552,-177.3223591031372,-182.7002436993487,LEFT
894,"((0, 1), (4, 4))",-177.50211575240684,-173.90696311753774,-178.6572751029097,-176.4189721855993,DOWN
895,"((1, 1), (4, 4))",-177.1034706574602,-175.9259823142528,-172.90555766856642,-178.88003189756273,LEFT
896,"((0, 0), (4, 4))",-171.70113550568826,-176.98480397495968,-171.70113550568826,-173.33632507595627,UP
897,"((1, 0), (4, 4))",-171.80835226117995,-172.0410935055846,-169.85137261548428,-177.0538031209236,LEFT
898,"((2, 2), (4, 4))",-180.97044690976531,-174.80340432622518,-173.86880453079897,-506.5,LEFT
899,"((2, 1), (4, 4))",-176.6665638239753,-175.32390285577844,-173.2686234477027,-171.2189834830957,RIGHT
900,"((2, 0), (4, 4))",-168.70526283207624,-172.48919910279676,-167.0608148257947,-174.02509027663177,LEFT
901,"((1, 6), (4, 4))",0.0,0.0,0.0,0.0,UP
902,"((4, 1), (3, 4))",-179.6615110668099,-184.52301200735292,-179.1854881373702,-179.92056803069596,LEFT
903,"((4, 0), (3, 4))",-183.37772989930465,-181.01686365378464,-179.9818412360592,-179.6798877032944,RIGHT
904,"((4, 2), (3, 4))",-178.1054464515462,-180.09379164640254,-181.00559185892718,-759.75,UP
905,"((3, 3), (3, 4))",0.0,0.0,0.0,0.0,UP
906,"((2, 2), (3, 5))",-178.83346846948234,-174.8389071115919,-178.0052295925695,-506.5,DOWN
907,"((2, 1), (3, 5))",-175.8857080009039,-179.93030609057962,-176.34466781592516,-177.25764727018992,UP
908,"((2, 0), (3, 5))",-174.32572226410645,-172.4292760074706,-174.2075718827257,-179.6556177019088,DOWN
909,"((4, 5), (4, 6))",-146.3745485254684,-146.36990080065556,-146.3880237902597,-130.06670047641745,RIGHT
910,"((3, 5), (4, 6))",-138.94826220315105,-137.76487811019007,-141.3459453791876,-756.75,DOWN
