,state,UP,DOWN,LEFT,RIGHT,POLICY
459,"((3, 7), (2, 1))",-252.23365963065018,-257.6078411683664,-510.5,-251.79873685188306,RIGHT
460,"((2, 7), (2, 1))",-249.65384001483977,-256.4465244194909,-510.0,-252.27720306450874,UP
461,"((1, 7), (2, 1))",-249.45703339882317,-254.56904086994507,-765.75,-244.99502629875207,RIGHT
462,"((0, 7), (2, 1))",-250.44917170551952,-254.48745260117698,-511.0,-250.52542029607253,UP
463,"((5, 8), (2, 1))",-253.2977729293047,-249.7814303168885,-256.3895605082924,-513.0,DOWN
464,"((4, 8), (2, 1))",-251.7732666933512,-250.29256672966255,-250.78713814623316,-512.5,DOWN
465,"((3, 8), (2, 1))",-239.14925755637182,-242.85687260648658,-250.0518025532224,-240.97432715306974,UP
466,"((2, 8), (2, 1))",-250.6353056917562,-243.6323077355887,-254.66057122334138,-511.5,DOWN
467,"((1, 8), (2, 1))",-261.2213431329337,-252.01558037566963,-242.6868398814479,-512.0,LEFT
468,"((0, 8), (2, 1))",-250.591222238692,-256.2275040098247,-250.41832750841473,-512.5,LEFT
469,"((5, 5), (2, 2))",-249.1819148498497,-244.38171653188533,-246.45139118263972,-246.813035555164,DOWN
470,"((4, 6), (2, 2))",-509.5,-244.00573583024394,-243.1952399773619,-239.95584820434684,RIGHT
471,"((3, 4), (1, 5))",-217.3646490787715,-218.55207952819148,-508.0,-219.14006349729908,UP
472,"((4, 9), (3, 1))",0.0,0.0,0.0,0.0,UP
473,"((0, 6), (1, 3))",0.0,0.0,0.0,0.0,UP
474,"((5, 5), (1, 1))",-260.27776881050727,-265.9595883567304,-265.98452668470577,-263.1567119625038,UP
475,"((4, 6), (1, 1))",-511.5,-248.76907153474383,-259.0072987991351,-248.80670843538053,DOWN
476,"((5, 9), (2, 1))",0.0,0.0,0.0,0.0,UP
477,"((3, 10), (4, 2))",-246.5304333234708,-242.0779750143824,-253.81957503579764,-242.84982657254335,DOWN
478,"((2, 10), (4, 2))",-238.26959080875497,-242.3807955506954,-510.5,-237.36339287333024,RIGHT
479,"((1, 10), (4, 2))",-223.08821465627116,-232.82733592488773,-511.0,-231.89050626370818,UP
480,"((0, 10), (4, 2))",-218.02497220192728,-216.24133221268846,-767.25,-220.73914714984696,DOWN
481,"((4, 10), (4, 2))",-243.5351223546262,-246.83797858376983,-509.5,-238.6626903786725,RIGHT
482,"((3, 11), (4, 2))",-241.5615249370988,-239.93862123529516,-234.30194116877738,-511.5,LEFT
483,"((2, 11), (4, 2))",-233.59495979256707,-235.9552750746996,-238.7599004591503,-512.0,UP
484,"((1, 11), (4, 2))",-228.4593392617266,-225.6256598175078,-231.68978711817127,-224.0989446344352,RIGHT
485,"((0, 11), (4, 2))",-227.10934604367418,-219.8453890823131,-215.75517434145377,-225.77312247413607,LEFT
486,"((4, 11), (4, 2))",-242.96335336066025,-238.82348605962687,-243.89992841529272,-511.0,DOWN
487,"((5, 10), (4, 2))",-240.42448223546478,-238.0276279472535,-510.0,-243.31363280764506,DOWN
488,"((5, 3), (1, 3))",0.0,0.0,0.0,0.0,UP
489,"((0, 5), (1, 4))",-202.93840414869925,-205.1562442798899,-209.15711191760693,-762.0,UP
490,"((1, 5), (1, 4))",-202.2123059232926,-197.71525044838376,-217.32846924387195,-507.5,DOWN
491,"((1, 3), (2, 4))",-201.10092591249605,-506.5,-201.34216933809205,-200.20288517581824,RIGHT
492,"((0, 3), (2, 4))",-196.42050668210982,-201.8745427916677,-200.8125272362734,-200.0766006951026,UP
493,"((2, 3), (2, 4))",0.0,0.0,0.0,0.0,UP
494,"((3, 9), (3, 2))",-510.5,-510.5,-240.1841764239186,-231.10641780512734,RIGHT
495,"((2, 9), (3, 2))",0.0,0.0,0.0,0.0,UP
496,"((3, 9), (3, 1))",-511.5,-767.25,-242.59692354846382,-247.33469139803452,LEFT
497,"((2, 9), (3, 1))",0.0,0.0,0.0,0.0,UP
498,"((3, 10), (4, 1))",-238.85925248861093,-236.51245603706235,-233.61536239775685,-236.1380720883762,LEFT
499,"((2, 10), (4, 1))",-230.9747142094702,-233.50730724750005,-511.5,-233.38474055077307,UP
500,"((1, 10), (4, 1))",-225.45842460253684,-226.62677272080583,-512.0,-231.72978456715174,UP
501,"((0, 10), (4, 1))",-212.3771822786508,-227.64692012966384,-512.5,-212.8132915243597,UP
502,"((4, 10), (4, 1))",-242.89372858630108,-237.23535016538693,-510.5,-237.05487661680417,RIGHT
503,"((3, 11), (4, 1))",-230.88218720867926,-227.1830877244507,-232.20979374668372,-512.5,DOWN
504,"((2, 11), (4, 1))",-231.9646280923883,-229.82855115199897,-232.47512591373024,-513.0,DOWN
